ts,switch_dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec
Sat Oct 11 19:53:44 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,18,571000000
Sat Oct 11 19:53:45 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,19,577000000
Sat Oct 11 19:53:45 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,19,581000000
Sat Oct 11 19:53:45 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,19,581000000
Sat Oct 11 19:53:45 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,19,583000000
Sat Oct 11 19:53:45 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,19,587000000
Sat Oct 11 19:53:45 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,19,587000000
Sat Oct 11 19:53:46 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,20,583000000
Sat Oct 11 19:53:46 2025,1,1,15,6,14046,364,0,0,0,0,0,0,0,0,20,587000000
Sat Oct 11 19:53:46 2025,1,2,6,17,364,12730,0,0,0,0,0,0,0,0,20,587000000
Sat Oct 11 19:53:46 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,20,578000000
Sat Oct 11 19:53:46 2025,2,1,15,17,1118,12730,0,0,0,0,0,0,0,0,20,582000000
Sat Oct 11 19:53:46 2025,2,2,17,6,12730,364,0,0,0,0,0,0,0,0,20,582000000
Sat Oct 11 19:53:47 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,21,588000000
Sat Oct 11 19:53:47 2025,1,1,81,67,157434,5214,0,0,0,0,0,0,0,0,21,593000000
Sat Oct 11 19:53:47 2025,1,2,68,80,5300,147232,0,0,0,0,0,0,0,0,21,593000000
Sat Oct 11 19:53:47 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,21,587000000
Sat Oct 11 19:53:47 2025,2,1,70,77,5472,139794,0,0,0,0,0,0,0,0,21,591000000
Sat Oct 11 19:53:47 2025,2,2,81,68,150194,5300,0,0,0,0,0,0,0,0,21,591000000
Sat Oct 11 19:53:48 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,22,584000000
Sat Oct 11 19:53:48 2025,1,1,115,100,246558,7552,0,0,0,0,0,0,0,0,22,588000000
Sat Oct 11 19:53:48 2025,1,2,103,115,7790,239318,0,0,0,0,0,0,0,0,22,588000000
Sat Oct 11 19:53:48 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,22,580000000
